processed_date,ticket_number,member_code,master_code,renegotiated_date,closed_date,day_to_close,time_to_respond,Compliance 
22-06-2021,2021227363,OOCAOE01,,NULL,29-06-2021,,,
22-06-2021,2021236612,OOC3BOE01,,03-07-2021,29-06-2021,,,
22-06-2021,2021245131,OOCAONE01,,NULL,02-07-2021,,,
22-06-2021,2021247469,OOCNONE01,,NULL,NULL,,,
22-06-2021,2021250184,OOC6ONE01,,NULL,02-07-2021,,,
22-06-2021,2021251243,OOC5ONE01,,NULL,29-06-2021,,,
22-06-2021,2021254249,OOCLW01,,NULL,24-06-2021,,,
22-06-2021,2021255318,OOCNOW01,,NULL,NULL,,,
22-06-2021,2021256220,OOC003,,NULL,25-06-2021,,,
22-06-2021,2021256398,OOC1OW01,,NULL,27-06-2021,,,
22-06-2021,2021256795,OOCHURN01,,NULL,24-06-2021,,,
22-06-2021,2021256854,OOCCGN02,,NULL,22-06-2021,,,
22-06-2021,2021257163,OOCOLLE01,,01-01-2001,22-06-2021,,,
22-06-2021,2021257849,OOCOLLS01,,NULL,22-06-2021,,,
22-06-2021,2021258863,OOCOLLW01,,NULL,22-06-2021,,,
22-06-2021,2021259253,OOCNGN02,,29-06-2021,26-06-2021,,,
22-06-2021,2021259640,OOCCGN02,,NULL,23-06-2021,,,
22-06-2021,2021259661,OOCNGN02,,29-06-2021,03-07-2021,,,
22-06-2021,2021259779,OOC5GN02,,29-06-2021,03-07-2021,,,
22-06-2021,2021259800,OOCSC2,,16-07-2021,NULL,,,
22-06-2021,20212322066,OOCKSP01,,NULL,NULL,,,
22-06-2021,20212323784,OOCLOS02,,29-06-2021,24-06-2021,,,
22-06-2021,20212325238,OOCCOS01,,NULL,13-07-2021,,,
22-06-2021,20212425339,OOCNOS01,,NULL,NULL,,,
22-06-2021,20212427411,OOC003,,NULL,13-07-2021,,,
22-06-2021,20212428072,OOCN01,,NULL,13-07-2021,,,
22-06-2021,20212428461,OOCCHN01,,NULL,22-06-2021,,,
22-06-2021,20212511273,OOCH03,,NULL,24-06-2021,,,
22-06-2021,20212511497,OOCBT1,,NULL,23-06-2021,,,
22-06-2021,20212511635,OOCN2HN01,,NULL,NULL,,,
22-06-2021,20212512133,OOC006,,NULL,NULL,,,
22-06-2021,20212512618,OOCAOS01,,NULL,22-06-2021,,,
22-06-2021,20212512665,OOCNCLWIN,,NULL,NULL,,,
22-06-2021,20212513536,OOCNOS01,,NULL,NULL,,,
22-06-2021,20212513637,OOC1OS01,,NULL,NULL,,,
22-06-2021,20212513729,OOCNSI01,,NULL,12-07-2021,,,
22-06-2021,20212514987,OOCAGN02,,NULL,22-06-2021,,,
22-06-2021,20212515207,OOCNGN02,,29-06-2021,28-06-2021,,,
22-06-2021,20212515533,OOCIDLND01,,NULL,28-06-2021,,,
22-06-2021,20212515544,OOCLDPUC01,,NULL,NULL,,,
22-06-2021,20212515751,OOCCONE01,,NULL,NULL,,,
22-06-2021,20212515902,OOCNCLNTH,,NULL,NULL,,,
22-06-2021,20212515960,OOCNONE01,,NULL,NULL,,,
22-06-2021,20212516162,OOCPC01,,NULL,NULL,,,
22-06-2021,20212516227,OOCRILWS01,,NULL,25-06-2021,,,
22-06-2021,20212516332,OOCCOW01,,NULL,NULL,,,
22-06-2021,20212516397,OOCRAP01,,NULL,NULL,,,
22-06-2021,20212516429,OOCRAS01,,NULL,NULL,,,
22-06-2021,20212516433,OOCNOW01,,NULL,NULL,,,
22-06-2021,20212516550,OOCCOW01,,NULL,NULL,,,
22-06-2021,20212516590,OOCRNT01,,NULL,23-06-2021,,,
22-06-2021,20212516647,OOCNOW01,,NULL,NULL,,,
22-06-2021,20212516677,OOC1OW01,,NULL,NULL,,,
22-06-2021,20212516994,OOCRW01,,NULL,23-06-2021,,,
22-06-2021,20212517003,OOCCOE01,,NULL,22-06-2021,,,
22-06-2021,20212517149,OOCN2OE01,,29-06-2021,25-06-2021,,,
22-06-2021,20212517191,OOC3BOE01,,NULL,25-06-2021,,,
22-06-2021,20212517265,OOCK04,,NULL,28-06-2021,,,
22-06-2021,20212517434,OOCRTSS01,,NULL,25-06-2021,,,
22-06-2021,20212517492,OOCRTWS01,,NULL,25-06-2021,,,
22-06-2021,20212517648,OOCCOW01,,NULL,12-07-2021,,,
22-06-2021,20212517803,OOCAMS01,,NULL,02-07-2021,,,
22-06-2021,20212517828,OOCAMW01,,NULL,NULL,,,
22-06-2021,20212518149,OOCNDH01,,NULL,25-06-2021,,,
22-06-2021,20212518583,OOCNOW01,,NULL,NULL,,,
22-06-2021,20212518842,OOCOGWAT01,,NULL,29-06-2021,,,
22-06-2021,20212518916,OOCAONE01,,05-07-2021,05-07-2021,,,
22-06-2021,20212518964,OOC5ONE01,,05-07-2021,05-07-2021,,,
22-06-2021,20212519108,OOCAOW01,,16-07-2021,13-07-2021,,,
22-06-2021,20212519201,OOC1OW01,,16-07-2021,13-07-2021,,,
22-06-2021,20212519529,OOCTEL01,,NULL,NULL,,,
22-06-2021,20212519790,OOCAOS01,,NULL,24-06-2021,,,
22-06-2021,20212520139,OOCKH1,,NULL,24-06-2021,,,
22-06-2021,20212520243,OOCKPUC01,,NULL,24-06-2021,,,
22-06-2021,20212520368,OOCOC01,,NULL,23-06-2021,,,
22-06-2021,20212520477,OOCNCLCHT,,NULL,NULL,,,
22-06-2021,20212520483,OOCNOS01,,NULL,NULL,,,
22-06-2021,20212520492,OOCNOW01,,NULL,NULL,,,
22-06-2021,20212520540,OOCFLK01,,NULL,09-06-2021,,,
22-06-2021,20212520611,OOCFP01,,NULL,19-06-2021,,,
22-06-2021,20212520629,OOCCOW01,,NULL,NULL,,,
22-06-2021,20212520747,OOCRNT01,,NULL,23-06-2021,,,
22-06-2021,20212520783,OOCNCLBRA,,NULL,NULL,,,
22-06-2021,20212521041,OOCNCLLDN,,NULL,NULL,,,
22-06-2021,20212521129,OOCNOW01,,NULL,NULL,,,
22-06-2021,20212521169,OOC1OW01,,NULL,NULL,,,
22-06-2021,20212521182,OOCRW01,,NULL,23-06-2021,,,
22-06-2021,20212521297,OOCCOE01,,NULL,22-06-2021,,,
22-06-2021,20212521390,OOCNOE01,,29-06-2021,22-06-2021,,,
22-06-2021,20212521422,OOCOT1,,NULL,24-06-2021,,,
22-06-2021,20212521428,OOCTWASL01,,NULL,23-06-2021,,,
22-06-2021,20212521456,OOCPVS1,,NULL,23-06-2021,,,
22-06-2021,20212521512,OOCNHN01,,NULL,NULL,,,
22-06-2021,20212521534,OOC2HN01,,NULL,24-06-2021,,,
22-06-2021,20212521577,OOCCOE01,,NULL,22-06-2021,,,
22-06-2021,20212521583,OOC4OE01,,NULL,14-07-2021,,,
22-06-2021,20212521586,OOCCOS01,,NULL,22-06-2021,,,
22-06-2021,20212521690,OOCNCLWIN,,NULL,NULL,,,
22-06-2021,20212521707,OOCNOS01,,NULL,NULL,,,
22-06-2021,20212521834,OOCWINSL01,,NULL,22-06-2021,,,
22-06-2021,20212521947,OOCNSI01,,NULL,28-06-2021,,,
22-06-2021,20212522006,OOCCT01,,NULL,23-06-2021,,,
22-06-2021,20212522073,OOCOCRAN01,,NULL,22-06-2021,,,
22-06-2021,20212522178,OOCNONW01,,NULL,23-06-2021,,,
22-06-2021,20212522204,OOCOWINC01,,NULL,22-06-2021,,,
22-06-2021,20212522228,OOCAOW01,,NULL,16-07-2021,,,
22-06-2021,20212522252,OOCMTN03,,29-06-2021,29-06-2021,,,
22-06-2021,20212522264,OOCNCLWAT,,NULL,NULL,,,
22-06-2021,20212522272,OOCNOW01,,NULL,NULL,,,
22-06-2021,20212522335,OOC5OW01,,NULL,16-07-2021,,,
22-06-2021,20212522374,OOCAOW01,,13-07-2021,NULL,,,
22-06-2021,20212522380,OOCLOW03,,29-06-2021,23-06-2021,,,
22-06-2021,20212522381,OOC003,,NULL,25-06-2021,,,
22-06-2021,20212522419,OOC1OW01,,13-07-2021,NULL,,,
22-06-2021,20212522424,OOCNOS01,,NULL,NULL,,,
22-06-2021,20212522488,OOC001,,NULL,NULL,,,
22-06-2021,20212522588,OOC1OS01,,NULL,18-07-2021,,,
